TIME,CHAN1,CHAN2
-0.0083,2.40e-01,-4.40e+00
-0.0081,2.80e+00,-2.60e+00
-0.0079,2.80e+00,-2.40e+00
-0.0077,4.40e+00,-4.00e+00
-0.0075,3.52e+00,-3.60e+00
-0.0073,1.60e+00,-5.00e+00
-0.0071,2.00e+00,-4.20e+00
-0.0069,5.28e+00,-2.40e+00
-0.0067,5.28e+00,-2.40e+00
-0.0065,2.64e+00,-4.60e+00
-0.0063,2.24e+00,-4.60e+00
-0.0061,4.16e+00,-2.60e+00
-0.0059,4.08e+00,-2.20e+00
-0.0057,5.36e+00,-3.60e+00
-0.0055,4.32e+00,-3.40e+00
-0.0053,2.16e+00,-4.40e+00
-0.0051,2.32e+00,-3.80e+00
-0.0049,5.20e+00,-2.00e+00
-0.0047,5.28e+00,-2.20e+00
-0.0045,2.40e+00,-4.20e+00
-0.0043,2.00e+00,-4.20e+00
-0.0041,3.84e+00,-2.20e+00
-0.0039,3.84e+00,-1.60e+00
-0.0037,5.04e+00,-3.20e+00
-0.0035,4.00e+00,-2.80e+00
-0.0033,1.84e+00,-4.20e+00
-0.0031,2.16e+00,-3.60e+00
-0.0029,4.88e+00,-1.60e+00
-0.0027,4.88e+00,-1.60e+00
-0.0025,2.08e+00,-4.00e+00
-0.0023,1.60e+00,-4.00e+00
-0.0021,3.60e+00,-1.80e+00
-0.0019,3.60e+00,-1.40e+00
-0.0017,4.64e+00,-2.40e+00
-0.0015,3.60e+00,-2.80e+00
-0.0013,1.52e+00,-1.40e+00
-0.0011,1.76e+00,-1.80e+00
-0.0009,4.56e+00,6.00e-01
-0.0007,4.56e+00,6.00e-01
-0.0005,1.04e+00,-8.00e-01
-0.0003,4.00e-01,-6.00e-01
-0.0001,1.84e+00,1.80e+00
0.0001,2.72e+00,2.40e+00
0.0003,1.20e+00,1.20e+00
0.0005,1.20e+00,8.00e-01
0.0007,-1.52e+00,2.00e+00
0.0009,-1.36e+00,1.80e+00
0.0011,8.80e-01,4.00e+00
0.0013,8.80e-01,4.00e+00
0.0015,-2.48e+00,2.20e+00
0.0017,-3.12e+00,2.20e+00
0.0019,-1.68e+00,4.60e+00
0.0021,-8.00e-01,5.00e+00
0.0023,-2.08e+00,3.60e+00
0.0025,-2.08e+00,3.80e+00
0.0027,-4.56e+00,2.60e+00
0.0029,-4.32e+00,3.40e+00
0.0031,-1.92e+00,5.00e+00
0.0033,-1.84e+00,4.80e+00
0.0035,-4.72e+00,2.60e+00
0.0037,-5.20e+00,2.60e+00
0.0039,-3.20e+00,4.60e+00
0.0041,-3.20e+00,5.00e+00
0.0043,-1.84e+00,3.40e+00
0.0045,-2.96e+00,3.40e+00
0.0047,-5.04e+00,2.40e+00
0.0049,-4.80e+00,2.80e+00
0.0051,-1.84e+00,4.60e+00
0.0053,-1.84e+00,4.40e+00
0.0055,-4.48e+00,2.20e+00
0.0057,-4.80e+00,2.20e+00
0.0059,-2.80e+00,4.20e+00
0.0061,-2.80e+00,4.40e+00
0.0063,-1.60e+00,2.80e+00
0.0065,-2.56e+00,3.20e+00
0.0067,-4.64e+00,2.00e+00
0.0069,-4.32e+00,2.60e+00
0.0071,-1.44e+00,4.20e+00
0.0073,-1.44e+00,4.20e+00
0.0075,-4.16e+00,2.00e+00
0.0077,-4.48e+00,1.80e+00
0.0079,-2.48e+00,3.80e+00
0.0081,-2.56e+00,4.20e+00
0.0083,-1.28e+00,1.80e+00
0.0085,-2.24e+00,2.00e+00
0.0087,-4.40e+00,8.00e-01
0.0089,-4.08e+00,1.00e+00
0.0091,-1.12e+00,2.00e+00
0.0093,-1.12e+00,1.80e+00
0.0095,-3.12e+00,-1.20e+00
0.0097,-3.28e+00,-1.40e+00
0.0099,-8.00e-01,2.00e-01
0.0101,-6.40e-01,4.00e-01
0.0103,8.80e-01,-1.60e+00
0.0105,2.40e-01,-1.20e+00
0.0107,-1.36e+00,-3.00e+00
0.0109,-8.00e-01,-2.60e+00
0.0111,2.56e+00,-1.20e+00
0.0113,2.56e+00,-1.80e+00
0.0115,4.80e-01,-4.20e+00
0.0117,3.20e-01,-4.40e+00
0.0119,2.80e+00,-2.60e+00
0.0121,2.88e+00,-2.40e+00
0.0123,4.32e+00,-3.80e+00
0.0125,3.52e+00,-3.60e+00
0.0127,1.76e+00,-5.00e+00
0.0129,2.08e+00,-4.20e+00
0.0131,5.28e+00,-2.40e+00
0.0133,5.36e+00,-2.40e+00
0.0135,2.64e+00,-4.60e+00
0.0137,2.24e+00,-4.60e+00
0.0139,4.24e+00,-2.40e+00
0.0141,4.24e+00,-2.20e+00
0.0143,5.36e+00,-3.80e+00
0.0145,4.32e+00,-3.60e+00
0.0147,2.16e+00,-4.40e+00
